playerID,playerName,position
2470,John Bronson,TE
19266,Anderson Russell,DB
4387,Tom Condon,G
12386,Jim Kleinsasser,TE-FB
15823,Chris Morris ,C
15956,Deiontrez Mount,OLB
20200,Ron Shumon,LB
15819,Bam Morris ,RB
12988,Don Lawrence,DT-T-G
5472,Calvin Demery,WR
10551,Demontre Hurst,CB
18603,David Richardson ,DB
18620,Paul Richardson ,WR
18723,Elliott Risley,T
16655,Andre O'Neal,LB
12843,Lew Lane,B
8244,George Grandinette,G
10073,Jesse Holley,WR
15997,Tom Mullady,TE-WR
12215,Gene Killian,G
8256,Bud Grant,E-DE
17332,Steve Pelluer,QB
20047,DeShawn Shead,DB
10741,Calvin Jackson,DB
2385,Diyral Briggs,LB
14469,Bob McCall,RB
10185,Melvin Hoover,WR
17898,Guy Prather ,LB
1484,Vonn Bell,SS
11186,Bryant Johnson ,WR
4524,Riley Cooper,WR
8475,Glynn Gregory,E-DB
13614,Clarence Love,DB
1925,Ping Bodie,FB
24937,Frank Youngfleish,C-G
18081,Greg Quick,T
11044,J.R. Jenkins,K
1826,H.B. Blades,LB
6460,Carlos Emmons,LB
24402,Mike Wilson,E-BB
21071,Jeff Staggs,LB-DE
12682,Waddy Kuehl,B
3213,Mac Byrd ,LB
12123,Jimmy Kennedy ,DT
6750,Jarred Fayson,WR
19770,Ron Scoggins,T
4698,Clyde Crabtree,B
19812,Kevin Scott,DB
20730,Orland Smith,T-G
18764,Stan Robb,E
2507,Perry Brooks,DT
9862,Jordan Hill,DT
5410,Donnie Dee,TE
14892,Zion McKinney,WR
9680,Kris Heppner,K
24742,Kendall Wright,WR
13141,Earl Leggett,DT-DE
12283,Emmett King,FB-HB
11286,Jaleel Johnson,DT
3528,Ronnie Carroll,G
13813,Kyle Mackey,QB
11153,Alex Johnson ,WR
7113,Dan Footman,DE-DT-NT
10474,Charlie Huneke,T
5188,Chris Davis,WR
8623,Gregg Guenther,TE
18061,Palmer Pyle,G
14674,Mike McDonald,LB
18820,Marcus Robertson,DB
11176,Billy Johnson ,DB
12169,Bob Keseday,TE
9682,Bill Herchman,DT
14850,Everett McIver,G
12375,Lee Kizzire,FB
4066,Corey Clement,RB
10467,Adam Humphries,WR
19263,Pat Russ,DT
20725,Oak Smith,E-FB-WB
1646,Marv Berschet,G-DE
24156,Kyle Williams,T
9636,Chad Henne,QB
2646,Jerry Brown,LB
551,Reidel Anthony,WR
15199,Lou Michaels,DE-K
6007,Mitch Dudek,T
10238,Bob Hoskins,DT-G
610,Anthony Armstrong ,WR
16057,Jim Murphy,B-E-C
13116,Monte Lee ,LB
15869,Tim Morrison ,DB
15367,Terry Miller,RB
2721,Ron Brown,WR
4984,Tom Curtis,DB
7740,Ken Geddes,LB
23196,Kevin Walter,WR
8897,Steve Hamilton,DE-DT
12737,Travis LaBoy,DE
22327,Gaynell Tinsley,E
15218,Oren Middlebrook,WR
9518,Bobby Hebert,QB
23669,Greg Westbrooks ,LB
1097,Jeff Barnes,LB
7027,Terrell Fletcher,RB
18257,Terry Ray,DB
4126,DeAndra Cobb,RB
23285,Dewey Warren,QB
21505,Quan Sturdivant,LB
10797,Larron Jackson,G-T
10425,Kevin Hughes,T
8039,Sam Goldman,E
30,Nate Abrams,E
18717,Mike Riordan,E-BB
1181,Odell Barry,WR
22009,Cal Thomas,G
12639,Emmett Kriel,G
13493,Bennie Logan,DT
19514,Broderick Sargent,RB
11880,Jim Kamp,T-G-E
440,Dwayne Anderson ,DB
15935,Roland Moss,TE
192,Allen Aldridge ,DE
8228,Otto Graham,QB-DB
16168,Rob Nairne,LB
16321,Bob Neuman,E
20323,Howard Simpson,DE
23966,Ken Willard,RB
23541,Bert Weidner,G-C
20608,Emmitt Smith,RB
4981,Kevin Curtis,WR
2518,Mal Bross,B
17670,John Pitts ,DB
6080,Tim Duncan,K
7835,Damon Gibson,WR
15569,Lou Molinet,FB
16426,Reed Nilsen,C
20067,James Sheldon ,E
13023,Mike Lazetich,G-LB
23096,Gary Walker,DT-DE
16357,Timmy Newsome,RB
22831,Art Van Tone,WB-DB
20250,Mana Silva,S
22864,Louis Vasquez,G
18339,Doug Reed,DE-DT
13610,Ricardo Louis,WR
4825,Phillip Crosby,FB
22970,Sandro Vitiello,K
15100,John Mellus,T
23671,Leonard Wester ,T
940,Don Baldwin,DE
6703,Miller Farr,DB
18555,Jim Ricca,MG-T-G-DT
15560,Dick Moje,E
14580,Josh McCown,QB
4601,Dave Costa,T
5797,Kevin Donnalley,DB
